,Kernel,C,Gamma,Result
124,sigmoid,1.0,1.0,0.3053435114503817
125,sigmoid,1.0,10.0,0.3053435114503817
126,sigmoid,10.0,scale,0.6946564885496184
127,sigmoid,10.0,auto,0.8244274809160306
128,sigmoid,10.0,0.1,0.2900763358778626
129,sigmoid,10.0,1.0,0.3053435114503817
130,sigmoid,10.0,1.0,0.3053435114503817
131,sigmoid,10.0,10.0,0.3053435114503817
132,sigmoid,100.0,scale,0.6335877862595419
133,sigmoid,100.0,auto,0.9007633587786259
134,sigmoid,100.0,0.1,0.3053435114503817
135,sigmoid,100.0,1.0,0.3053435114503817
136,sigmoid,100.0,1.0,0.3053435114503817
137,sigmoid,100.0,10.0,0.3053435114503817
138,sigmoid,1000.0,scale,0.5114503816793893
139,sigmoid,1000.0,auto,0.9083969465648855
140,sigmoid,1000.0,0.1,0.2824427480916031
141,sigmoid,1000.0,1.0,0.3053435114503817
142,sigmoid,1000.0,1.0,0.3053435114503817
143,sigmoid,1000.0,10.0,0.3053435114503817
