100	{'C': 1000.0}	0.668763102725367
200	{'C': 100.0}	0.6372000931749359
300	{'C': 10.0}	0.681341719077568
400	{'C': 1000.0}	0.7875611460517121
500	{'C': 1000.0}	0.7875611460517122
600	{'C': 100.0}	0.8002562310738411
700	{'C': 100.0}	0.806429070580014
800	{'C': 1000.0}	0.8065455392499418
900	{'C': 100.0}	0.8502212904728629
1000	{'C': 100.0}	0.7811553692056837
1100	{'C': 1000.0}	0.7257162823200559
1200	{'C': 10.0}	0.8065455392499418
1300	{'C': 100.0}	0.7876776147216399
1400	{'C': 1000.0}	0.8256464011180992
1500	{'C': 100.0}	0.8129513160959702
1600	{'C': 100.0}	0.8563941299790357
1700	{'C': 1000.0}	0.8191241556021431
1800	{'C': 10.0}	0.8688562776613091
1900	{'C': 10.0}	0.8314698346144888
2000	{'C': 100.0}	0.7816212438853949
2100	{'C': 100.0}	0.8377591427905893
2200	{'C': 1000.0}	0.79979035639413
2300	{'C': 1000.0}	0.8126019100861868
2400	{'C': 100.0}	0.8191241556021431
2500	{'C': 100.0}	0.8191241556021431
2600	{'C': 10.0}	0.8563941299790357
2700	{'C': 100.0}	0.8375262054507339
2800	{'C': 100.0}	0.84404845096669
2900	{'C': 1000.0}	0.8502212904728627
3000	{'C': 100.0}	0.8071278825995808
3100	{'C': 1.0}	0.719077568134172
3200	{'C': 1000.0}	0.8436990449569066
3300	{'C': 100.0}	0.7689261588632658
